[Provincia];[NombreEstacion];[InstanteLectura];[TA];[TMAXMED];[TMAX];[FTMAX];[TMINmed];[TMIN];[FTMIN];[PP];[PPMAX];[FPPMAX];[BHC];[HRMED];[HRMAX];[HRMIN];[INS];[HSOL];[IRD];[VV];[GT];[FGTMAX];[PR];[NDPP];[NDX]
A Coruña;A Gándara;01/03/2025 0:00:00;9.5;13.38;24.7;31;6.7;2.8;14;143;47.5;22;84;85;97;65;**;**;1341;26;134;20;962;16;0
A Coruña;Aldea Nova;01/03/2025 0:00:00;10.5;15.01;24.1;31;7.2;2.4;16;104;30.3;22;30;76;90;58;44;152;1293;9;60;8;979;16;0
A Coruña;Arzúa;01/03/2025 0:00:00;9.1;15.06;27.9;31;3.9;-0.1;17;101;33.8;21;29;79;96;53;45;167;1287;7;81;20;969;13;1
A Coruña;Camariñas;01/03/2025 0:00:00;12.1;14.53;21.3;31;9.4;4.5;16;90;21.9;22;2;75;89;61;56;207;1427;22;104;20;1010;13;0
A Coruña;Cariño;01/03/2025 0:00:00;11.7;14.51;20.6;19;8.5;4.8;16;96;35.0;22;29;78;94;61;34;126;1122;10;62;1;1008;14;0
A Coruña;Cee-Brens;01/03/2025 0:00:00;12.4;16.14;22.5;30;9.1;3.7;16;134;30.4;22;-8;77;94;56;54;198;1393;16;114;20;**;12;0
A Coruña;CIS Ferrol;01/03/2025 0:00:00;12.1;16.28;25.5;31;8.3;2.2;16;86;32.3;22;-2;70;87;51;49;180;1355;10;86;20;1008;16;0
A Coruña;Corrubedo;01/03/2025 0:00:00;12.3;16.54;25.2;30;8.9;4.9;16;114;21.3;21;23;65;81;48;43;157;1315;9;77;20;1006;12;0
A Coruña;Coruña-Dique;01/03/2025 0:00:00;12.0;14.95;20.2;20;8.7;3.4;16;61;25.6;22;**;75;89;60;**;**;**;20;110;20;1009;14;0
A Coruña;Coruña-Torre de Hércules;01/03/2025 0:00:00;12.4;15.8;21.0;18;9.6;5.2;16;72;29.0;22;**;67;82;50;**;**;**;**;**;**;**;13;0
A Coruña;*Costa;01/03/2025 0:00:00;10.1;16.41;27.9;31;4.6;0.1;14;151;41.5;21;**;84;99;57;**;**;**;3;72;20;**;12;0
A Coruña;*Coto Muiño;01/03/2025 0:00:00;9.3;14.77;26.7;31;4.8;-1.0;16;202;51.1;22;**;76;90;54;**;**;**;3;43;20;**;17;1
A Coruña;Fontecada;01/03/2025 0:00:00;8.5;13.04;24.8;31;4.9;-0.4;16;205;58.3;9;--;77;91;57;49;179;1258;14;98;20;968;13;1
A Coruña;*Guísamo;01/03/2025 0:00:00;10.8;15.33;25.1;31;6.9;1.2;16;97;41.4;22;**;68;88;45;**;**;**;5;55;20;990;13;0
A Coruña;*Lesende;01/03/2025 0:00:00;11.2;16.28;25.9;31;7.0;1.7;16;173;48.9;21;90;74;93;50;51;188;1361;8;69;7;992;11;0
A Coruña;Lira;01/03/2025 0:00:00;11.8;15.36;24.2;30;8.9;4.9;16;113;24.0;9;22;71;85;55;**;**;1484;26;133;20;**;11;0
A Coruña;Mabegondo;01/03/2025 0:00:00;10.4;16.42;26.5;31;4.3;-2.1;16;96;35.9;22;23;83;98;59;49;180;1344;7;82;20;1001;13;4
A Coruña;Malpica;01/03/2025 0:00:00;11.2;14.47;19.2;31;8.9;6.5;16;69;20.7;22;1;86;98;69;53;196;1379;25;93;20;992;16;0
A Coruña;Marco da Curra;01/03/2025 0:00:00;7.3;11.26;23.8;31;4.2;0.4;14;93;29.3;22;34;80;93;62;**;**;1238;18;95;20;936;13;0
A Coruña;Melide;01/03/2025 0:00:00;8.8;14.75;27.7;31;4.0;-0.6;16;78;28.1;21;4;76;93;52;48;175;1327;7;59;1;955;13;2
A Coruña;Muralla;01/03/2025 0:00:00;7.8;11.87;23.1;31;5.0;0.9;16;136;45.9;21;74;83;95;62;47;173;1281;27;122;20;934;11;0
A Coruña;O Fieitoso;01/03/2025 0:00:00;11.3;15.9;25.2;31;7.5;3.9;16;139;42.2;21;63;73;91;52;51;188;1404;7;75;20;**;11;0
A Coruña;*O Val;01/03/2025 0:00:00;11.6;16.21;25.5;31;7.2;0.3;16;85;25.9;22;**;81;96;64;**;**;**;5;46;1;1003;16;0
A Coruña;Olas;01/03/2025 0:00:00;8.8;13.72;26.1;31;4.8;0.8;14;135;36.6;22;63;79;93;60;47;172;1322;12;94;20;**;13;0
A Coruña;*Ordes;01/03/2025 0:00:00;9.7;15.14;27.2;31;4.4;-1.6;16;101;23.3;22;**;77;92;55;**;**;**;4;63;20;980;14;2
A Coruña;*Paramos;01/03/2025 0:00:00;9.1;13.82;25.5;31;5.0;-0.6;16;183;62.4;21;**;82;95;63;**;**;**;7;57;7;968;15;1
A Coruña;*Pazo de Galegos;01/03/2025 0:00:00;10.7;16;27.6;31;6.4;1.5;16;93;34.0;21;12;74;92;50;49;181;1367;6;51;20;**;12;0
A Coruña;Punta Candieira;01/03/2025 0:00:00;10.8;12.93;21.8;31;8.8;5.4;14;52;20.1;22;-28;74;88;61;39;143;1198;30;113;1;980;17;0
A Coruña;Punta Langosteira;01/03/2025 0:00:00;12.1;14.47;20.3;20;9.3;4.3;16;42;9.4;22;**;69;85;55;52;193;1362;22;117;20;1009;12;0
A Coruña;Río do Sol;01/03/2025 0:00:00;8.0;12.5;25.4;31;4.9;1.1;16;177;38.7;22;120;87;98;67;**;**;1274;21;96;20;947;15;0
A Coruña;*Rus;01/03/2025 0:00:00;9.8;15.58;27.8;31;4.3;-1.8;16;117;31.8;22;**;89;99;66;**;**;**;2;50;20;995;14;4
A Coruña;Sálvora-Pazo;01/03/2025 0:00:00;12.7;15.69;23.5;31;10.3;7.4;16;109;18.9;22;--;74;88;57;**;**;1478;28;116;20;**;11;0
A Coruña;Santiago-EOAS;01/03/2025 0:00:00;10.3;15.3;27.5;31;6.4;1.9;16;113;36.3;21;33;75;91;53;45;166;1293;17;83;20;981;12;0
A Coruña;Santiago-San Lázaro;01/03/2025 0:00:00;9.9;14.58;27.0;31;5.9;0.8;16;114;35.8;21;41;79;95;57;50;183;1346;9;63;1;934;13;**
A Coruña;Sergude;01/03/2025 0:00:00;10.2;15.71;27.2;31;5.5;1.0;16;126;54.3;21;**;82;98;55;50;183;1367;9;61;20;984;12;0
A Coruña;Serra da Faladoira;01/03/2025 0:00:00;7.7;11.28;19.2;31;5.1;1.2;16;162;40.5;23;111;86;98;66;**;**;1136;21;80;20;944;20;0
Lugo;A Pontenova;01/03/2025 0:00:00;8.8;13.37;19.6;31;5.4;0.7;17;100;24.6;11;**;77;90;58;35;128;1104;11;90;21;**;16;0
Lugo;Abradelo;01/03/2025 0:00:00;7.4;12.25;25.4;31;3.5;-1.9;15;96;24.4;21;**;72;89;51;45;165;1332;**;**;**;**;13;3
Lugo;*Alto do Faro;01/03/2025 0:00:00;6.3;10.7;23.1;31;2.7;-1.1;16;106;21.4;21;**;90;100;69;**;**;**;7;45;1;914;13;5
Lugo;*Alto do Poio;01/03/2025 0:00:00;3.4;6.68;18.3;31;0.6;-4.6;16;111;42.3;21;**;**;**;63;**;**;**;**;**;**;**;13;12
Lugo;Ancares;01/03/2025 0:00:00;3.6;7.6;19.7;31;0.5;-4.9;16;104;24.6;22;55;80;93;63;**;**;1191;19;112;20;857;14;10
Lugo;*Borreiros;01/03/2025 0:00:00;10.6;15.32;21.1;19;6.4;2.1;17;103;32.8;22;45;82;97;61;29;107;1015;3;44;1;1004;18;0
Lugo;Bóveda;01/03/2025 0:00:00;9.4;15.47;27.8;31;4.2;-2.2;15;56;20.7;21;-19;76;97;47;44;162;1287;7;87;20;960;11;3
Lugo;Burela;01/03/2025 0:00:00;9.1;11.63;16.9;19;7.1;3.7;22;103;27.1;23;39;81;94;66;37;136;1143;19;112;9;963;17;0
Lugo;Campus Lugo;01/03/2025 0:00:00;8.6;14.88;26.3;31;3.3;-2.3;16;57;13.3;21;-8;79;98;51;40;146;1201;6;71;20;**;13;3
Lugo;Castro R. de Lea;01/03/2025 0:00:00;8.5;13.76;23.0;31;3.5;-3.0;16;57;12.6;11;**;81;96;58;49;180;1331;**;**;**;946;13;3
Lugo;Conchada;01/03/2025 0:00:00;8.1;13.05;26.2;31;4.2;-1.3;14;81;22.1;22;**;81;97;59;**;**;1173;13;107;20;930;11;3
Lugo;Corno do Boi;01/03/2025 0:00:00;6.8;11.55;24.1;31;3.4;-0.8;16;104;34.7;21;46;83;97;59;**;**;1266;13;87;20;**;17;2
Lugo;Cospeito;01/03/2025 0:00:00;8.2;13.42;23.3;31;3.0;-2.6;16;74;21.9;11;8;81;98;55;46;170;1305;8;69;20;**;14;4
Lugo;Courel;01/03/2025 0:00:00;7.5;12.33;25.4;31;3.5;-1.8;15;84;27.2;21;30;70;89;49;40;147;1245;12;109;20;922;11;3
Lugo;Feiranova-Santaballa;01/03/2025 0:00:00;8.1;13.2;25.0;31;3.2;-2.1;16;66;19.3;22;14;89;100;65;42;132;1299;7;56;20;955;17;4
Lugo;Fontaneira;01/03/2025 0:00:00;5.8;10.5;23.2;31;2.5;-2.4;16;81;16.1;22;25;81;95;60;**;**;1267;18;107;20;898;12;6
