[Provincia];[NombreEstacion];[InstanteLectura];[TA];[TMAXMED];[TMAX];[FTMAX];[TMINmed];[TMIN];[FTMIN];[PP];[PPMAX];[FPPMAX];[BHC];[HRMED];[HRMAX];[HRMIN];[INS];[HSOL];[IRD];[VV];[GT];[FGTMAX];[PR];[NDPP];[NDX]
A Coruña;A Gándara;01/05/2025 0:00:00;13.6;17.87;26.9;29;10.5;7.2;6;41;14.5;12;-63;88;98;65;56;254;2183;19;66;18;969;10;0
A Coruña;Aldea Nova;01/05/2025 0:00:00;14.5;19.48;28.0;29;10.6;6.1;6;83;21.2;11;-40;82;96;62;53;242;2144;7;44;2;985;12;0
A Coruña;Arzúa;01/05/2025 0:00:00;14.0;20.82;32.2;29;8.1;3.2;7;94;31.3;9;-23;80;98;53;49;221;2003;4;41;5;972;11;0
A Coruña;Camariñas;01/05/2025 0:00:00;14.9;17.53;22.0;17;12.3;9.1;6;37;8.8;12;--;--;--;--;--;--;--;--;--;--;1017;9;0
A Coruña;Cariño;01/05/2025 0:00:00;15.0;17.82;21.0;29;11.9;8.1;14;112;39.8;18;-2;85;98;70;50;222;2072;8;46;5;1014;12;0
A Coruña;Cee-Brens;01/05/2025 0:00:00;16.1;19.69;23.9;16;12.5;8.3;15;49;13.6;12;--;81;96;61;62;279;2351;12;51;28;1016;11;0
A Coruña;CIS Ferrol;01/05/2025 0:00:00;15.9;20.16;27.1;29;12.0;8.3;6;80;34.1;11;-37;75;91;57;60;273;2285;9;55;6;1014;9;0
A Coruña;Corrubedo;01/05/2025 0:00:00;16.3;20.85;28.8;28;12.4;9.9;6;81;23.2;9;-59;69;83;52;55;247;2189;7;46;6;1013;9;0
A Coruña;Coruña-Dique;01/05/2025 0:00:00;15.1;17.27;21.8;17;12.7;9.6;8;64;26.6;18;**;83;93;71;**;**;**;16;63;5;1015;9;0
A Coruña;Coruña-Torre de Hércules;01/05/2025 0:00:00;15.9;19.25;23.4;2;13.3;11.1;6;83;25.4;18;**;76;90;61;**;**;**;**;**;**;**;9;0
A Coruña;*Costa;01/05/2025 0:00:00;15.0;22.05;32.8;29;8.9;4.6;14;93;34.4;9;**;84;100;55;**;**;**;1;38;3;**;9;0
A Coruña;*Coto Muiño;01/05/2025 0:00:00;13.7;19.62;30.5;29;8.8;3.4;14;59;12.7;12;**;77;92;53;**;**;**;2;31;6;**;11;0
A Coruña;*Guísamo;01/05/2025 0:00:00;14.8;19.53;28.2;29;10.9;7.5;6;90;32.7;18;**;75;96;51;**;**;**;3;28;6;996;12;0
A Coruña;*Lesende;01/05/2025 0:00:00;15.6;21.32;30.2;29;10.6;6.5;14;82;24.8;2;-48;77;97;52;55;247;2168;6;37;10;999;10;0
A Coruña;Lira;01/05/2025 0:00:00;15.8;19.66;25.3;29;12.3;8.9;6;69;26.4;9;-76;74;88;56;67;303;2453;16;71;6;**;8;0
A Coruña;Mabegondo;01/05/2025 0:00:00;14.7;20.46;29.8;29;8.8;3.8;8;75;21.9;12;-35;87;100;65;50;228;1989;5;39;5;1007;12;0
A Coruña;Malpica;01/05/2025 0:00:00;14.5;17.8;20.9;17;12.2;9.3;10;47;16.6;2;-52;93;100;79;61;278;2248;18;66;5;999;6;0
A Coruña;Marco da Curra;01/05/2025 0:00:00;12.0;16.77;28.7;29;8.2;4.6;6;105;29.0;11;-7;82;96;60;53;242;2138;13;55;2;942;13;0
A Coruña;Melide;01/05/2025 0:00:00;13.8;20.74;33.1;29;7.8;2.7;6;99;23.2;12;--;79;97;52;51;233;2075;5;45;5;961;11;0
A Coruña;Muralla;01/05/2025 0:00:00;12.7;17.06;27.7;29;9.3;4.9;6;93;29.4;12;--;82;97;61;55;250;2156;19;75;6;941;12;0
A Coruña;O Fieitoso;01/05/2025 0:00:00;15.9;21.08;30.2;28;11.5;8.8;6;84;39.4;12;-10;74;94;51;59;268;2267;5;**;5;--;9;0
A Coruña;*O Val;01/05/2025 0:00:00;15.5;20.02;27.1;29;11.0;6.8;6;79;23.9;11;**;86;98;69;**;**;**;4;36;11;1009;10;0
A Coruña;Olas;01/05/2025 0:00:00;13.3;18.49;31.4;29;9.0;4.6;14;102;25.1;9;1;83;97;61;49;221;1995;7;40;18;**;12;0
A Coruña;*Ordes;01/05/2025 0:00:00;14.1;20.07;32.3;29;8.6;3.7;8;65;18.0;12;**;79;95;57;**;**;**;2;33;9;987;9;0
A Coruña;*Paramos;01/05/2025 0:00:00;13.8;19.33;32.4;29;9.2;5.8;14;71;17.0;2;**;83;98;60;**;**;**;5;**;30;974;9;0
A Coruña;*Pazo de Galegos;01/05/2025 0:00:00;15.5;21.56;32.3;29;10.5;6.3;6;80;21.3;2;-40;78;97;53;47;213;1966;3;42;2;**;9;0
A Coruña;Punta Candieira;01/05/2025 0:00:00;13.9;16.43;25.9;18;11.9;9.0;10;91;29.4;18;-41;83;95;68;53;232;2130;24;82;2;987;13;0
A Coruña;Punta Langosteira;01/05/2025 0:00:00;15.0;16.66;21.1;2;12.8;9.6;8;55;15.6;18;**;78;89;68;59;269;2201;14;59;5;1015;10;0
A Coruña;Río do Sol;01/05/2025 0:00:00;12.3;17.06;30.3;29;8.8;4.9;6;87;21.5;2;-8;89;99;68;51;229;2026;16;54;6;954;11;0
A Coruña;*Rus;01/05/2025 0:00:00;14.2;19.82;30.1;29;8.6;3.3;7;57;15.9;2;**;89;100;66;**;**;**;1;30;6;1001;9;0
A Coruña;Sálvora-Pazo;01/05/2025 0:00:00;16.3;19.44;23.8;28;13.6;11.3;15;73;31.0;9;--;81;92;66;62;281;2454;20;70;5;**;6;0
A Coruña;Santiago-EOAS;01/05/2025 0:00:00;14.9;20.58;31.3;29;10.4;6.5;14;78;21.0;2;21;77;93;54;41;188;1925;13;54;5;987;9;0
A Coruña;Santiago-San Lázaro;01/05/2025 0:00:00;14.5;19.99;31.0;29;10.2;6.4;6;91;49.9;2;-30;81;98;57;56;252;2122;8;47;5;981;8;**
A Coruña;Sergude;01/05/2025 0:00:00;15.1;21.51;32.1;29;9.7;5.4;6;121;36.7;12;**;84;100;56;55;247;2096;7;42;5;990;9;0
A Coruña;Serra da Faladoira;01/05/2025 0:00:00;11.9;16.17;27.9;29;8.7;4.8;5;119;37.2;18;29;91;100;69;46;202;1930;15;57;6;951;15;0
Lugo;A Pontenova;01/05/2025 0:00:00;13.2;18.13;32.7;29;9.8;5.4;6;64;28.4;18;**;83;94;64;34;156;1568;10;53;12;**;17;0
Lugo;Abradelo;01/05/2025 0:00:00;12.9;19.36;31.1;29;8.0;2.2;6;165;43.3;8;**;76;95;51;51;231;2082;**;**;**;**;12;0
Lugo;*Alto do Faro;01/05/2025 0:00:00;12.1;17.55;30.1;29;7.5;2.4;6;104;17.9;18;**;87;99;62;**;**;**;5;41;18;921;11;0
Lugo;*Alto do Poio;01/05/2025 0:00:00;9.9;14.62;26.9;29;5.8;-0.9;6;162;27.1;12;**;75;93;52;**;**;**;**;**;**;**;13;1
Lugo;Ancares;01/05/2025 0:00:00;10.0;15.39;27.3;29;5.8;-1.5;6;115;22.7;12;17;75;93;53;**;**;2020;12;68;2;865;12;2
Lugo;*Borreiros;01/05/2025 0:00:00;14.6;19.21;23.4;29;10.2;6.3;6;118;49.3;18;16;85;98;66;41;179;1779;3;30;11;1010;11;0
Lugo;Bóveda;01/05/2025 0:00:00;14.7;22.03;34.3;29;8.8;3.1;7;100;15.2;2;-25;81;100;48;54;245;2167;5;40;3;966;11;0
Lugo;Burela;01/05/2025 0:00:00;12.5;15.21;25.7;29;10.6;7.6;6;109;29.4;18;21;89;97;74;39;177;1786;13;63;11;969;14;0
Lugo;Campus Lugo;01/05/2025 0:00:00;14.0;21.17;33.2;29;8.6;3.8;6;133;29.8;18;21;82;100;52;40;183;1887;5;46;3;970;12;0
Lugo;Castro R. de Lea;01/05/2025 0:00:00;13.6;19.68;33.2;29;8.8;3.6;6;116;34.7;18;**;84;99;58;52;234;2132;**;**;**;966;15;0
Lugo;Conchada;01/05/2025 0:00:00;13.6;19.52;31.6;29;9.0;4.2;6;92;16.5;12;**;84;99;59;56;251;2242;10;58;3;937;14;0
Lugo;Corno do Boi;01/05/2025 0:00:00;12.0;17.91;30.9;29;7.6;3.2;6;118;26.5;12;5;83;98;56;49;224;2060;10;51;2;**;15;0
Lugo;Cospeito;01/05/2025 0:00:00;13.3;19.69;33.0;29;7.9;4.5;6;109;31.4;18;-5;85;100;56;51;229;2087;7;64;2;**;13;0
Lugo;Courel;01/05/2025 0:00:00;13.6;19.8;32.1;29;8.6;3.0;6;112;22.6;9;-21;74;96;48;53;240;2161;7;64;2;928;14;0
Lugo;Feiranova-Santaballa;01/05/2025 0:00:00;12.8;19.24;33.0;29;7.2;2.9;6;139;71.5;18;31;90;100;64;48;220;2062;5;41;6;961;12;0
Lugo;Fontaneira;01/05/2025 0:00:00;11.4;16.65;28.8;29;7.3;1.7;6;146;40.5;18;36;82;97;59;51;234;2105;14;63;11;905;12;0
Lugo;Foz;01/05/2025 0:00:00;13.9;17.29;20.4;25;10.6;7.9;12;111;29.4;18;13;86;98;70;42;190;1828;8;48;5;1010;13;0
Lugo;Fragavella;01/05/2025 0:00:00;11.4;15.48;30.0;29;7.9;3.3;6;124;43.1;18;34;87;97;68;35;160;1702;8;56;2;948;15;0
Lugo;Guitiriz-Mirador;01/05/2025 0:00:00;12.3;18.38;31.2;29;8.2;4.0;6;100;23.7;11;-9;83;99;54;45;206;1940;6;43;30;938;13;0
Lugo;*Labrada;01/05/2025 0:00:00;11.7;16.28;30.5;29;8.3;4.4;6;138;41.9;18;38;84;96;62;42;191;1855;8;48;2;**;13;0
Lugo;*Lourenzá;01/05/2025 0:00:00;14.4;19.24;27.3;29;10.0;5.6;7;81;27.3;18;**;85;98;65;**;**;**;3;35;11;**;12;0
Lugo;Marroxo;01/05/2025 0:00:00;13.3;19.58;31.7;29;8.8;3.8;6;86;19.6;12;-35;81;98;52;46;209;2059;8;64;29;943;13;0
Lugo;*Míllara;01/05/2025 0:00:00;15.2;23.23;35.8;29;9.5;3.6;6;96;22.3;2;**;80;98;49;**;**;**;3;39;2;**;10;0
Lugo;Monforte;01/05/2025 0:00:00;15.6;23.73;36.2;29;9.1;3.0;7;98;21.9;2;-32;77;100;40;49;221;2060;2;36;18;**;11;0
Lugo;*Morelle;01/05/2025 0:00:00;14.3;21.54;33.5;29;8.3;1.4;6;157;47.1;18;44;81;98;52;40;181;1849;1;30;3;969;14;0
Lugo;O Cebreiro;01/05/2025 0:00:00;10.0;16.18;28.0;29;5.4;-1.2;6;129;19.3;9;17;82;98;59;51;231;2083;10;47;11;870;16;1
Lugo;O Xipro;01/05/2025 0:00:00;12.1;18.22;30.5;29;7.3;1.5;6;76;26.2;12;-76;79;95;55;48;220;2028;9;52;30;927;13;0
Lugo;O Xistral;01/05/2025 0:00:00;10.6;13.79;27.1;29;7.8;3.2;6;159;54.3;18;77;90;99;73;**;**;1980;25;89;2;**;15;0
Lugo;*Olveda;01/05/2025 0:00:00;13.0;19.41;32.4;29;7.7;1.8;6;75;15.7;2;-38;82;99;57;49;222;2003;5;32;5;**;11;0
Lugo;Pedro Murias;01/05/2025 0:00:00;14.8;17.63;21.5;25;11.7;8.3;6;120;47.8;18;19;91;100;77;44;198;1902;6;47;7;1013;13;0
Lugo;Penedo do Galo ;01/05/2025 0:00:00;11.5;14.95;28.5;29;9.3;5.7;6;110;44.4;18;28;89;99;72;39;179;1717;18;70;11;**;14;0
Lugo;Pol;01/05/2025 0:00:00;12.3;17.89;31.5;29;8.2;3.4;6;87;36.9;18;**;84;98;61;48;216;2057;9;42;29;942;14;0
Lugo;Portomarín;01/05/2025 0:00:00;13.8;21.09;32.9;29;8.2;2.2;6;114;26.5;12;**;85;100;56;48;219;2071;**;**;**;966;13;0
Lugo;Riotorto;01/05/2025 0:00:00;14.1;19.49;34.8;29;10.0;5.3;7;64;25.1;18;-39;86;100;59;36;164;1777;5;40;2;**;14;0
Lugo;Sambreixo;01/05/2025 0:00:00;12.8;19.49;32.2;29;6.9;2.5;6;127;37.1;11;**;84;100;55;49;224;2046;**;**;**;**;14;0
Lugo;*San Clodio;01/05/2025 0:00:00;16.1;23.67;35.9;29;9.7;4.6;7;75;16.0;9;**;77;99;44;**;**;**;3;29;18;987;12;0
Lugo;*San Fiz;01/05/2025 0:00:00;14.8;21.27;33.7;29;9.7;4.8;7;78;20.4;2;-46;80;98;54;48;215;2055;4;43;2;971;11;0
Lugo;Santa Cruz;01/05/2025 0:00:00;14.6;19.56;27.9;29;9.7;5.2;6;111;36.1;18;-7;85;99;63;36;164;1744;5;44;2;**;13;0
Lugo;Serra Vacaloura;01/05/2025 0:00:00;12.3;18.4;31.2;29;7.9;2.4;6;99;23.2;12;-5;89;100;64;54;245;2153;17;59;5;**;11;0
Lugo;Ventosa;01/05/2025 0:00:00;12.0;17.7;29.5;29;7.0;1.3;6;107;18.8;18;-11;78;94;53;50;228;2054;8;61;30;913;14;0
Lugo;*Vilamor;01/05/2025 0:00:00;14.4;19.04;26.9;29;10.4;6.1;6;111;36.0;18;22;90;100;70;34;155;1612;4;34;2;**;13;0
Lugo;*Xabrega;01/05/2025 0:00:00;15.1;23.02;35.3;29;9.3;4.1;7;72;13.0;12;-46;80;98;48;42;191;1909;3;44;18;979;13;0
Ourense;A Mezquita;01/05/2025 0:00:00;12.3;17.9;28.7;29;6.6;1.6;11;85;15.6;9;-41;73;93;50;51;231;2119;9;55;2;902;11;0
Ourense;*A Portela;01/05/2025 0:00:00;15.8;23.17;34.4;29;9.5;5.4;6;68;14.4;12;-66;72;95;42;60;246;2138;4;39;29;**;12;0
Ourense;*A Trabe;01/05/2025 0:00:00;14.3;20.1;30.5;29;8.9;3.9;7;85;17.4;12;-52;74;91;53;58;262;2243;4;34;3;928;10;0
Ourense;Alto do Rodicio;01/05/2025 0:00:00;11.9;17.02;28.6;29;7.5;2.7;6;117;24.2;12;-3;82;98;60;54;246;2220;10;56;2;906;12;0
Ourense;Amiudal;01/05/2025 0:00:00;14.5;20.75;33.0;29;9.4;4.6;6;66;19.7;8;-63;77;96;49;52;236;2124;6;47;18;953;11;0
Ourense;As Petarelas;01/05/2025 0:00:00;15.4;23.13;34.5;29;9.1;4.4;6;58;12.4;12;**;76;98;45;55;251;2204;**;**;**;**;11;0
