[Provincia];[NombreEstacion];[InstanteLectura];[TA];[TMAXMED];[TMAX];[FTMAX];[TMINmed];[TMIN];[FTMIN];[PP];[PPMAX];[FPPMAX];[BHC];[HRMED];[HRMAX];[HRMIN];[INS];[HSOL];[IRD];[VV];[GT];[FGTMAX];[PR];[NDPP];[NDX]
A Coruña;A Gándara;01/10/2025 0:00:00;15.7;19.1;25.6;15;13.0;8.3;27;137;26.1;21;65;81;94;66;49;169;1070;20;110;30;969;12;0
A Coruña;Aldea Nova;01/10/2025 0:00:00;15.9;20.42;27.4;15;12.7;7.7;27;111;28.4;31;7;82;95;65;43;148;995;10;67;10;985;11;0
A Coruña;Arzúa;01/10/2025 0:00:00;14.4;21.39;28.1;1;8.8;1.2;27;125;29.3;22;63;85;100;58;44;152;1001;3;53;30;974;11;0
A Coruña;Camariñas;01/10/2025 0:00:00;15.9;18.84;25.5;12;12.9;9.6;24;66;29.7;31;-2;84;94;69;50;172;1045;16;90;30;1016;11;0
A Coruña;Cariño;01/10/2025 0:00:00;16.3;19.78;24.3;7;12.7;6.9;27;112;29.0;31;32;86;98;69;46;157;1011;**;59;22;1013;14;0
A Coruña;Cee-Brens;01/10/2025 0:00:00;16.2;19.67;25.4;10;12.9;9.6;28;164;29.6;20;99;89;98;72;50;173;1046;11;81;30;1016;12;0
A Coruña;CIS Ferrol;01/10/2025 0:00:00;16.5;21.62;28.5;15;12.6;6.3;27;76;23.7;31;1;79;92;58;46;158;1032;7;68;23;1014;11;0
A Coruña;Corrubedo;01/10/2025 0:00:00;16.5;20.13;26.9;12;13.7;10.2;17;126;38.1;19;54;76;87;61;39;135;992;7;72;31;1013;10;0
A Coruña;Coruña-Dique;01/10/2025 0:00:00;16.1;19.43;25.9;18;12.9;7.0;27;54;20.8;31;**;83;93;68;**;**;**;14;85;31;1015;9;0
A Coruña;Coruña-Torre de Hércules;01/10/2025 0:00:00;16.8;20.26;25.7;18;13.9;9.0;27;78;21.8;31;**;76;90;59;**;**;**;**;**;**;**;11;0
A Coruña;*Costa;01/10/2025 0:00:00;15.1;21.98;28.6;14;10.0;3.8;27;227;74.8;31;**;91;100;65;**;**;**;2;49;31;**;9;0
A Coruña;*Coto Muiño;01/10/2025 0:00:00;14.1;20.58;27.7;15;9.1;2.8;28;228;63.6;31;**;82;91;60;**;**;**;1;48;31;**;12;0
A Coruña;*Guísamo;01/10/2025 0:00:00;16.1;20.99;26.9;15;12.4;6.2;27;61;13.9;31;**;74;93;51;**;**;**;4;44;31;996;11;0
A Coruña;*Lesende;01/10/2025 0:00:00;16.2;21.58;27.1;1;12.1;7.0;27;195;49.0;31;127;85;99;63;49;168;1037;6;54;31;999;11;0
A Coruña;Lira;01/10/2025 0:00:00;16.9;19.76;25.6;11;14.3;10.1;26;121;27.0;31;36;78;89;64;52;179;1137;19;108;31;**;12;0
A Coruña;Mabegondo;01/10/2025 0:00:00;15.3;22.13;28.7;12;9.1;1.1;27;90;27.1;31;26;89;100;64;49;169;1074;5;54;30;1007;11;0
A Coruña;Malpica;01/10/2025 0:00:00;15.8;19.22;25.8;18;13.0;9.8;27;66;20.9;31;8;91;100;74;51;174;1070;20;98;22;998;11;0
A Coruña;Marco da Curra;01/10/2025 0:00:00;13.6;17.84;24.5;15;10.3;6.0;27;153;34.4;21;85;82;93;65;46;156;1024;18;88;22;943;13;0
A Coruña;Melide;01/10/2025 0:00:00;14.5;21.57;28.5;1;8.7;3.3;27;131;30.9;22;65;81;97;54;45;156;1003;5;50;22;962;12;0
A Coruña;Muralla;01/10/2025 0:00:00;14.9;17.8;24.0;15;12.2;6.6;27;330;66.6;31;259;79;93;64;48;164;999;20;98;31;941;10;0
A Coruña;O Fieitoso;01/10/2025 0:00:00;16.6;20.7;26.9;1;13.4;8.4;27;253;77.6;19;182;80;94;61;48;166;1064;5;57;22;998;10;0
A Coruña;*O Val;01/10/2025 0:00:00;16.1;21.53;27.6;6;11.4;4.7;27;109;34.7;31;**;89;99;70;**;**;**;3;60;30;1009;10;0
A Coruña;Olas;01/10/2025 0:00:00;14.7;20.35;27.9;15;10.2;5.5;27;141;49.7;31;--;83;96;61;45;155;924;10;78;30;**;10;0
A Coruña;*Ordes;01/10/2025 0:00:00;14.4;21.49;28.8;15;8.5;0.6;27;146;56.2;31;**;84;96;60;**;**;**;1;32;30;987;11;0
A Coruña;*Paramos;01/10/2025 0:00:00;14.9;20.29;26.7;1;10.8;5.0;27;190;34.0;22;**;87;98;67;**;**;**;5;51;31;975;15;0
A Coruña;*Pazo de Galegos;01/10/2025 0:00:00;16.0;22.35;29.5;1;11.0;3.3;27;130;25.6;22;63;84;99;58;48;165;1059;2;35;22;**;10;0
A Coruña;Punta Candieira;01/10/2025 0:00:00;16.3;18.88;24.6;12;14.0;11.1;26;50;12.7;31;-31;78;91;64;46;157;1022;29;134;22;986;11;0
A Coruña;Punta Langosteira;01/10/2025 0:00:00;15.9;18.25;24.4;18;13.3;9.4;27;**;**;21;**;81;93;68;50;170;1052;16;92;19;1015;**;0
A Coruña;Río do Sol;01/10/2025 0:00:00;14.6;18.74;25.9;15;11.5;6.9;27;189;49.5;31;125;85;97;68;46;157;999;17;103;31;954;13;0
A Coruña;*Rus;01/10/2025 0:00:00;14.9;21.85;28.5;15;8.9;1.0;27;105;34.1;31;**;91;100;65;**;**;**;1;41;22;1001;10;0
A Coruña;Sálvora-Pazo;01/10/2025 0:00:00;16.2;19.53;26.2;12;14.3;11.3;27;127;52.2;19;60;89;97;72;**;**;1147;18;82;31;**;11;0
A Coruña;Santiago-EOAS;01/10/2025 0:00:00;15.8;21.29;27.9;15;11.5;6.6;27;137;37.0;31;--;81;94;58;45;155;1017;13;85;22;988;10;0
A Coruña;Santiago-San Lázaro;01/10/2025 0:00:00;15.5;20.47;27.1;1;11.0;4.3;27;109;29.2;31;43;85;98;63;48;165;1033;7;57;31;981;9;**
A Coruña;Sergude;01/10/2025 0:00:00;15.6;21.81;28.7;1;10.9;5.5;27;148;37.4;22;**;86;100;60;48;166;1047;8;59;22;990;10;0
A Coruña;Serra da Faladoira;01/10/2025 0:00:00;13.7;17.45;23.6;2;10.7;6.6;26;154;30.1;31;103;90;99;72;**;**;998;20;100;22;951;13;0
Lugo;A Pontenova;01/10/2025 0:00:00;14.6;19.59;27.7;7;10.9;4.0;27;54;12.3;21;**;81;93;60;37;127;938;14;97;22;**;14;0
