[Provincia];[NombreEstacion];[InstanteLectura];[TA];[TMAXMED];[TMAX];[FTMAX];[TMINmed];[TMIN];[FTMIN];[PP];[PPMAX];[FPPMAX];[BHC];[HRMED];[HRMAX];[HRMIN];[INS];[HSOL];[IRD];[VV];[GT];[FGTMAX];[PR];[NDPP];[NDX]
A Coruña;A Gándara;01/01/2025 0:00:00;10.1;12.5;15.1;14;7.7;3.5;27;403;100.6;3;372;88;98;75;34;99;522;32;144;26;968;21;0
A Coruña;Aldea Nova;01/01/2025 0:00:00;10.2;13.22;16.7;21;7.6;3.6;15;348;69.9;3;310;81;94;64;32;92;486;15;94;26;984;20;0
A Coruña;Arzúa;01/01/2025 0:00:00;8.5;13.13;18.2;11;4.5;-3.7;15;434;91.5;26;408;91;99;68;31;90;504;6;74;24;975;19;8
A Coruña;Camariñas;01/01/2025 0:00:00;12.6;14.74;16.5;12;9.9;4.0;18;204;39.5;5;129;85;97;71;33;96;508;26;107;26;1017;19;0
A Coruña;Cariño;01/01/2025 0:00:00;11.9;14.81;18.6;21;8.6;1.9;15;356;56.7;26;309;81;95;63;33;95;513;9;89;24;1013;20;0
A Coruña;Cee-Brens;01/01/2025 0:00:00;12.6;15.27;18.6;12;9.6;3.4;18;478;74.8;3;--;**;**;**;**;**;511;20;96;24;1017;24;0
A Coruña;CIS Ferrol;01/01/2025 0:00:00;11.8;15.1;18.4;21;8.5;2.0;15;344;81.6;3;217;76;90;59;33;94;492;12;90;27;1014;20;0
A Coruña;Corrubedo;01/01/2025 0:00:00;12.1;14.7;16.9;22;9.8;4.1;16;301;35.5;5;259;78;88;63;34;98;545;14;88;27;1014;19;0
A Coruña;Coruña-Dique;01/01/2025 0:00:00;12.4;15.04;18.6;10;9.6;2.6;16;200;36.0;26;**;78;90;63;**;**;**;24;127;8;1015;20;0
A Coruña;Coruña-Torre de Hércules;01/01/2025 0:00:00;12.5;15.44;18.8;21;10.0;4.6;15;257;34.9;5;**;73;90;56;**;**;**;**;**;**;**;19;0
A Coruña;*Costa;01/01/2025 0:00:00;10.2;14.65;17.7;11;6.4;-1.4;1;782;142.8;26;**;93;100;72;**;**;**;4;67;26;**;20;4
A Coruña;*Coto Muiño;01/01/2025 0:00:00;9.4;13.46;18.4;12;5.9;-2.0;18;709;100.7;3;**;85;92;67;**;**;**;5;63;26;**;22;5
A Coruña;Fontecada;01/01/2025 0:00:00;9.0;12.13;15.6;12;6.0;-1.4;15;948;165.6;26;--;83;93;67;29;85;458;18;107;26;974;21;2
A Coruña;*Guísamo;01/01/2025 0:00:00;10.8;14.14;17.3;21;7.8;2.6;16;228;31.7;29;**;**;**;**;**;**;**;8;62;26;996;19;0
A Coruña;*Lesende;01/01/2025 0:00:00;11.0;14.5;17.8;16;7.9;2.0;15;594;94.2;5;525;86;97;66;33;96;499;9;82;29;999;20;0
