[Provincia];[NombreEstacion];[InstanteLectura];[TA];[TMAXMED];[TMAX];[FTMAX];[TMINmed];[TMIN];[FTMIN];[PP];[PPMAX];[FPPMAX];[BHC];[HRMED];[HRMAX];[HRMIN];[INS];[HSOL];[IRD];[VV];[GT];[FGTMAX];[PR];[NDPP];[NDX]
A Coruña;A Gándara;01/08/2025 0:00:00;18.2;22.84;32.8;10;14.9;12.7;31;33;9.4;30;-84;88;100;64;59;256;2082;21;77;15;970;8;0
A Coruña;Aldea Nova;01/08/2025 0:00:00;19.6;25.12;33.9;10;15.6;13.1;24;43;13.2;29;-89;84;96;63;57;249;2018;8;56;9;985;9;0
A Coruña;Arzúa;01/08/2025 0:00:00;19.9;28.14;36.8;10;13.3;9.5;23;30;8.8;31;-100;78;98;47;**;**;2013;3;36;5;974;5;0
A Coruña;Camariñas;01/08/2025 0:00:00;18.9;21.58;27.0;10;16.4;12.9;28;7;4.4;30;-116;85;95;72;67;287;2181;18;75;2;1016;5;0
A Coruña;Cariño;01/08/2025 0:00:00;19.8;23.22;27.8;11;16.7;13.4;27;42;17.9;31;-83;88;99;72;47;202;1779;8;47;31;1013;9;0
A Coruña;Cee-Brens;01/08/2025 0:00:00;20.1;24.67;31.4;3;16.7;12.3;28;34;20.4;30;-99;86;97;66;64;278;2126;13;**;1;1016;5;0
A Coruña;CIS Ferrol;01/08/2025 0:00:00;20.9;26.01;34.4;10;17.3;14.3;28;26;11.1;29;-123;76;89;56;61;263;2084;10;58;5;1014;7;0
A Coruña;Corrubedo;01/08/2025 0:00:00;20.5;25.69;33.7;2;16.4;13.6;28;17;10.1;30;-128;72;87;54;56;242;2019;6;57;3;1012;5;0
A Coruña;Coruña-Dique;01/08/2025 0:00:00;19.1;21.8;25.8;14;16.8;13.7;23;6;2.2;27;**;87;95;75;**;**;**;13;65;30;1015;5;0
A Coruña;Coruña-Torre de Hércules;01/08/2025 0:00:00;19.7;23.55;26.7;10;17.1;15.4;8;20;5.0;29;**;81;96;62;**;**;**;**;**;**;**;7;0
A Coruña;*Costa;01/08/2025 0:00:00;20.7;29.38;37.0;4;14.2;8.4;28;15;7.6;30;**;81;99;49;**;**;**;2;33;30;**;5;0
A Coruña;*Coto Muiño;01/08/2025 0:00:00;18.5;25.19;33.0;10;13.2;8.9;28;44;11.9;30;**;80;97;54;**;**;**;2;36;2;**;6;0
A Coruña;*Guísamo;01/08/2025 0:00:00;20.0;25.58;33.8;10;15.7;13.0;23;18;6.8;29;**;77;98;50;**;**;**;3;41;30;996;7;0
