[Provincia];[NombreEstacion];[InstanteLectura];[TA];[TMAXMED];[TMAX];[FTMAX];[TMINmed];[TMIN];[FTMIN];[PP];[PPMAX];[FPPMAX];[BHC];[HRMED];[HRMAX];[HRMIN];[INS];[HSOL];[IRD];[VV];[GT];[FGTMAX];[PR];[NDPP];[NDX]
A Coruña;A Gándara;01/06/2025 0:00:00;17.7;21.82;30.8;29;14.4;11.9;2;59;19.2;11;-59;90;100;68;57;261;2325;18;81;11;971;9;0
A Coruña;Aldea Nova;01/06/2025 0:00:00;18.3;23.11;31.7;29;14.6;11.4;3;47;15.9;6;-85;85;97;66;52;237;2223;8;56;16;987;9;0
A Coruña;Arzúa;01/06/2025 0:00:00;19.4;26.48;36.1;17;13.4;9.5;15;14;3.7;5;-131;78;97;51;56;256;2248;4;38;2;--;7;0
A Coruña;Camariñas;01/06/2025 0:00:00;18.0;20.26;24.6;17;15.8;12.3;3;42;33.7;11;-83;86;95;74;62;285;2411;17;76;15;1018;5;0
A Coruña;Cariño;01/06/2025 0:00:00;18.7;21.59;26.0;18;15.9;12.4;14;29;8.8;25;-85;87;98;73;43;196;1974;8;51;5;1015;7;0
A Coruña;Cee-Brens;01/06/2025 0:00:00;18.8;22.34;28.8;17;15.8;12.7;3;83;30.8;11;-37;89;98;73;54;245;2227;15;59;11;1017;10;0
A Coruña;CIS Ferrol;01/06/2025 0:00:00;19.7;24.39;33.3;18;16.1;12.1;15;32;8.9;6;-119;77;91;59;58;268;2378;10;46;15;1015;7;0
A Coruña;Corrubedo;01/06/2025 0:00:00;19.3;23.93;32.8;17;15.7;13.3;3;40;11.2;10;-100;76;89;60;52;238;2175;6;61;16;1015;9;0
A Coruña;Coruña-Dique;01/06/2025 0:00:00;18.5;20.92;26.6;17;16.2;12.9;9;23;9.6;25;**;86;95;74;**;**;**;14;63;11;1016;7;0
A Coruña;Coruña-Torre de Hércules;01/06/2025 0:00:00;19.4;23.14;28.9;17;16.6;14.6;15;30;7.8;6;**;80;95;62;**;**;**;**;**;**;**;8;0
A Coruña;*Costa;01/06/2025 0:00:00;19.7;26.41;37.1;17;13.9;9.5;15;46;10.0;5;**;86;100;60;**;**;**;2;36;12;**;8;0
A Coruña;*Coto Muiño;01/06/2025 0:00:00;17.9;24.07;35.7;29;12.9;8.9;9;73;15.9;11;**;79;92;57;**;**;**;2;37;11;**;8;0
A Coruña;*Guísamo;01/06/2025 0:00:00;18.9;23.75;31.9;18;15.1;11.7;15;30;7.5;6;**;78;97;57;**;**;**;3;35;12;998;7;0
A Coruña;*Lesende;01/06/2025 0:00:00;19.6;25.22;35.2;17;14.9;11.3;15;71;21.6;11;-72;83;99;60;51;230;2171;5;32;23;1000;10;0
A Coruña;Lira;01/06/2025 0:00:00;19.1;23.08;32.7;17;15.8;12.1;3;59;20.1;10;-83;81;93;65;63;285;2396;16;80;15;**;9;0
A Coruña;Mabegondo;01/06/2025 0:00:00;19.5;25.25;33.2;18;14.1;8.0;9;28;12.7;25;-104;85;100;66;52;238;2163;6;52;12;1008;6;0
A Coruña;Malpica;01/06/2025 0:00:00;17.5;20.98;27.4;18;15.1;12.8;3;17;5.1;13;-90;95;100;80;58;263;2319;17;65;15;1000;9;0
A Coruña;Marco da Curra;01/06/2025 0:00:00;17.0;22.34;32.6;29;12.7;9.3;15;33;17.8;25;-100;83;96;62;57;263;2306;14;60;12;944;6;0
A Coruña;Melide;01/06/2025 0:00:00;19.4;27.01;37.5;29;12.7;6.4;8;25;14.2;25;--;76;96;50;58;265;2332;4;42;2;964;6;0
A Coruña;Muralla;01/06/2025 0:00:00;17.5;21.57;31.5;17;13.5;9.5;2;117;36.1;12;-13;83;97;62;58;263;2314;18;75;2;943;9;0
A Coruña;O Fieitoso;01/06/2025 0:00:00;19.4;24.35;34.8;17;15.3;12.3;15;68;15.6;6;--;82;97;59;57;260;2239;5;44;15;--;9;0
A Coruña;*O Val;01/06/2025 0:00:00;19.5;24.19;31.9;18;15.3;10.8;15;32;8.8;6;**;87;99;70;**;**;**;4;36;4;1010;7;0
A Coruña;Olas;01/06/2025 0:00:00;18.0;23.62;35.4;29;13.6;9.5;15;22;9.5;6;-108;83;97;61;51;235;2190;9;59;12;**;7;0
A Coruña;*Ordes;01/06/2025 0:00:00;19.1;25.64;35.4;29;13.5;8.3;9;47;19.0;25;**;79;95;57;**;**;**;1;29;2;988;8;0
A Coruña;*Paramos;01/06/2025 0:00:00;18.6;25.11;34.8;17;13.4;10.0;7;71;21.6;11;**;85;99;61;**;**;**;4;34;2;976;10;0
A Coruña;*Pazo de Galegos;01/06/2025 0:00:00;20.2;26.8;36.8;17;15.1;11.3;15;25;8.4;6;-117;80;98;53;52;236;2169;2;26;13;**;8;0
A Coruña;Punta Candieira;01/06/2025 0:00:00;17.6;20.81;31.0;29;15.1;12.7;3;33;9.4;25;-85;85;97;69;51;235;2170;22;104;16;988;9;0
A Coruña;Punta Langosteira;01/06/2025 0:00:00;17.8;19.77;23.7;18;15.9;13.3;9;14;4.5;6;**;84;94;73;56;258;2284;12;69;12;1016;6;0
A Coruña;Río do Sol;01/06/2025 0:00:00;16.9;21.8;33.0;29;13.0;9.7;2;62;26.8;25;-57;89;99;69;53;240;2246;16;64;11;956;8;0
A Coruña;*Rus;01/06/2025 0:00:00;18.7;24.38;34.0;29;13.5;9.0;9;42;14.7;25;**;89;100;69;**;**;**;1;38;11;1003;6;0
A Coruña;Sálvora-Pazo;01/06/2025 0:00:00;18.8;22.08;29.5;17;16.3;14.0;3;27;8.4;10;--;89;98;74;59;267;2424;18;63;16;**;8;0
A Coruña;Santiago-EOAS;01/06/2025 0:00:00;19.5;25.57;35.5;29;14.9;11.5;3;32;6.7;11;-103;79;95;56;45;207;2083;13;57;11;989;7;0
A Coruña;Santiago-San Lázaro;01/06/2025 0:00:00;19.1;24.71;34.6;17;14.6;11.1;15;28;4.7;6;-112;83;99;59;58;264;2268;8;46;11;983;7;**
A Coruña;Sergude;01/06/2025 0:00:00;20.0;26.55;37.0;17;14.7;10.3;8;25;7.2;6;**;84;100;57;58;267;2265;8;40;10;992;7;0
A Coruña;Serra da Faladoira;01/06/2025 0:00:00;16.1;20.28;29.7;29;12.9;9.9;2;51;27.3;25;-50;93;100;76;48;211;2082;17;70;15;953;10;0
Lugo;A Pontenova;01/06/2025 0:00:00;18.0;23.27;33.2;29;14.4;10.9;15;52;40.5;25;**;82;95;64;**;**;1607;10;63;12;**;14;0
Lugo;Abradelo;01/06/2025 0:00:00;19.6;26.2;36.0;29;13.7;8.9;8;14;10.8;25;**;68;91;44;61;280;2424;**;**;**;**;4;0
Lugo;*Alto do Faro;01/06/2025 0:00:00;17.9;23.82;33.8;29;12.4;8.2;14;7;1.8;11;**;83;100;57;**;**;**;5;34;2;923;7;0
Lugo;*Alto do Poio;01/06/2025 0:00:00;16.7;21.99;31.1;29;11.9;5.4;15;13;7.8;11;**;68;87;48;**;**;**;**;**;**;**;5;0
Lugo;Ancares;01/06/2025 0:00:00;17.5;23.36;33.2;29;12.2;5.7;2;16;12.7;11;-38;78;90;57;60;275;2508;15;113;24;867;6;0
Lugo;*Borreiros;01/06/2025 0:00:00;18.8;23.14;27.0;26;15.0;10.7;15;8;8.9;25;-103;85;98;69;34;157;1728;3;37;5;1011;1;0
Lugo;Bóveda;01/06/2025 0:00:00;20.8;28.77;38.2;29;13.8;9.2;15;5;4.4;25;-158;72;99;41;64;283;2499;6;51;24;968;2;0
Lugo;Burela;01/06/2025 0:00:00;16.5;19.71;29.0;29;14.4;11.7;7;8;2.9;6;-88;91;99;76;36;166;1818;13;60;12;971;8;0
Lugo;Campus Lugo;01/06/2025 0:00:00;19.7;27.51;38.1;29;13.9;8.3;8;7;5.7;25;-134;77;100;46;46;209;2149;6;40;11;972;5;0
Lugo;Castro R. de Lea;01/06/2025 0:00:00;18.9;25.43;37.1;29;14.1;7.4;15;19;13.9;25;**;80;98;54;55;253;2296;**;**;**;968;4;0
Lugo;Conchada;01/06/2025 0:00:00;20.2;27.07;37.2;29;14.4;9.1;15;3;3.0;11;**;74;95;49;63;286;2499;10;**;24;939;2;0
Lugo;Corno do Boi;01/06/2025 0:00:00;17.4;23.54;35.3;29;12.5;8.7;7;31;23.0;25;-109;80;98;55;54;249;2296;10;54;24;**;6;0
Lugo;Cospeito;01/06/2025 0:00:00;18.5;25.39;37.5;29;13.2;7.0;15;9;6.3;25;-129;82;100;53;52;240;2203;7;46;15;**;3;0
Lugo;Courel;01/06/2025 0:00:00;20.5;27.46;37.5;29;14.4;7.8;15;5;2.0;11;-173;65;89;39;62;280;2468;7;73;24;931;5;0
Lugo;Feiranova-Santaballa;01/06/2025 0:00:00;18.2;25.35;36.4;29;12.5;7.1;15;15;5.4;6;-119;89;100;62;54;245;2252;5;39;12;963;5;0
Lugo;Fontaneira;01/06/2025 0:00:00;17.5;23.06;33.4;29;13.0;7.6;15;13;4.2;6;-141;76;93;**;60;273;2434;15;69;24;908;5;0
Lugo;Foz;01/06/2025 0:00:00;17.8;20.74;25.1;12;14.9;10.8;15;16;4.0;6;-83;88;99;74;34;156;1720;8;51;12;1011;11;0
Lugo;Fragavella;01/06/2025 0:00:00;16.1;20.54;32.5;29;12.4;9.1;8;22;8.0;25;-82;87;99;67;37;168;1804;9;66;12;950;12;0
Lugo;Guitiriz-Mirador;01/06/2025 0:00:00;17.3;23.17;34.8;29;12.7;9.0;15;38;17.5;6;-89;82;99;58;48;220;2103;7;46;15;941;5;0
Lugo;*Labrada;01/06/2025 0:00:00;16.6;21.18;32.7;29;12.6;9.5;2;72;37.4;25;-42;83;97;65;43;198;1932;8;54;19;**;9;0
Lugo;*Lourenzá;01/06/2025 0:00:00;18.9;23.53;29.0;24;15.1;10.1;15;11;9.2;25;**;83;97;65;**;**;**;2;38;6;**;4;0
Lugo;Marroxo;01/06/2025 0:00:00;19.8;26.86;37.4;29;14.2;8.3;15;1;1.0;11;-163;71;95;44;53;243;2370;9;67;23;946;1;0
