[Provincia];[NombreEstacion];[InstanteLectura];[TA];[TMAXMED];[TMAX];[FTMAX];[TMINmed];[TMIN];[FTMIN];[PP];[PPMAX];[FPPMAX];[BHC];[HRMED];[HRMAX];[HRMIN];[INS];[HSOL];[IRD];[VV];[GT];[FGTMAX];[PR];[NDPP];[NDX]
A Coruña;A Gándara;01/09/2025 0:00:00;15.4;18.87;26.4;18;12.6;9.6;24;104;13.7;20;19;85;99;62;53;198;1558;21;87;3;972;17;0
A Coruña;Aldea Nova;01/09/2025 0:00:00;16.4;21.02;25.9;6;12.9;10.0;23;152;26.9;1;60;83;97;61;51;191;1522;9;56;3;987;18;0
A Coruña;Arzúa;01/09/2025 0:00:00;15.3;22.12;29.0;18;9.4;4.5;26;67;10.1;7;-21;83;99;53;49;182;1488;3;40;28;976;16;0
A Coruña;Camariñas;01/09/2025 0:00:00;17.3;19.72;23.8;19;14.3;9.4;26;46;9.5;6;-51;82;94;66;65;240;1675;17;71;3;1019;11;0
A Coruña;Cariño;01/09/2025 0:00:00;17.4;21.04;25.7;6;13.6;9.9;26;110;17.9;1;--;84;97;66;50;187;1520;7;47;3;1015;18;0
A Coruña;Cee-Brens;01/09/2025 0:00:00;17.3;20.48;23.8;16;13.6;9.1;26;130;26.6;9;31;87;97;69;60;224;1631;**;64;6;1018;15;0
A Coruña;CIS Ferrol;01/09/2025 0:00:00;17.8;22.13;26.7;6;14.0;10.6;26;111;12.8;1;4;76;92;56;56;209;1634;9;54;3;1016;18;0
A Coruña;Corrubedo;01/09/2025 0:00:00;17.7;21.62;24.9;19;14.5;11.5;22;78;15.8;27;-22;75;88;57;48;177;1520;7;53;27;1016;13;0
A Coruña;Coruña-Dique;01/09/2025 0:00:00;17.7;20.44;25.2;6;14.6;9.9;25;43;9.2;27;**;80;93;65;**;**;**;17;70;3;1017;13;0
A Coruña;Coruña-Torre de Hércules;01/09/2025 0:00:00;18.5;21.95;27.0;6;15.5;12.0;25;73;15.2;27;**;73;90;55;**;**;**;**;**;**;**;13;0
