[Provincia];[NombreEstacion];[InstanteLectura];[TA];[TMAXMED];[TMAX];[FTMAX];[TMINmed];[TMIN];[FTMIN];[PP];[PPMAX];[FPPMAX];[BHC];[HRMED];[HRMAX];[HRMIN];[INS];[HSOL];[IRD];[VV];[GT];[FGTMAX];[PR];[NDPP];[NDX]
A Coruña;A Gándara;01/07/2025 0:00:00;17.0;20.76;27.1;9;14.5;12.7;20;30;12.0;19;-70;92;100;73;51;234;2077;24;90;19;972;12;0
A Coruña;Aldea Nova;01/07/2025 0:00:00;18.3;22.67;29.4;16;14.8;11.8;15;62;23.2;19;-60;85;96;68;44;205;1974;8;62;8;987;11;0
A Coruña;Arzúa;01/07/2025 0:00:00;19.0;25.74;34.6;16;13.6;9.6;15;18;12.7;19;-131;76;95;52;53;247;2218;5;41;28;976;4;0
A Coruña;Camariñas;01/07/2025 0:00:00;18.4;20.23;23.5;9;16.5;12.5;14;5;3.1;19;-122;84;93;73;62;287;2347;23;81;3;1018;4;0
A Coruña;Cariño;01/07/2025 0:00:00;19.3;22.17;25.8;12;16.4;12.1;15;47;15.6;19;-77;86;96;73;47;217;2041;9;**;19;1016;11;0
A Coruña;Cee-Brens;01/07/2025 0:00:00;19.7;23.46;31.3;4;16.6;12.6;14;28;20.6;19;-115;84;95;67;58;266;2307;13;65;3;1018;4;0
A Coruña;CIS Ferrol;01/07/2025 0:00:00;19.9;23.76;29.2;16;16.7;13.1;15;17;7.2;19;-134;76;88;61;55;256;2231;12;62;3;1016;7;0
A Coruña;Corrubedo;01/07/2025 0:00:00;20.8;25.72;31.6;8;17.0;15.0;14;10;7.4;19;-158;67;81;50;55;254;2240;8;66;8;1014;5;0
A Coruña;Coruña-Dique;01/07/2025 0:00:00;18.8;20.83;24.3;9;17.0;14.3;14;14;6.5;19;**;85;93;74;**;**;**;16;79;19;1017;8;0
A Coruña;Coruña-Torre de Hércules;01/07/2025 0:00:00;19.4;22.89;26.9;13;17.0;14.7;10;15;6.5;19;**;79;94;63;**;**;**;**;**;**;**;6;0
A Coruña;*Costa;01/07/2025 0:00:00;19.9;26.33;34.5;16;14.6;10.1;14;20;18.6;19;**;81;98;59;**;**;**;2;36;19;**;4;0
A Coruña;*Coto Muiño;01/07/2025 0:00:00;17.6;22.84;29.6;9;13.6;8.8;14;35;27.2;19;**;79;93;58;**;**;**;3;47;2;**;8;0
A Coruña;*Guísamo;01/07/2025 0:00:00;19.1;23.85;30.5;9;15.5;13.2;26;9;3.0;18;**;77;95;55;**;**;**;4;38;19;998;6;0
A Coruña;*Lesende;01/07/2025 0:00:00;19.9;25.82;32.7;16;15.3;11.7;14;14;12.7;19;-140;76;96;53;54;250;2259;6;41;8;1000;4;0
A Coruña;Lira;01/07/2025 0:00:00;19.6;23.99;31.5;4;16.2;14.8;14;7;5.5;19;-157;75;90;59;65;300;2433;19;104;8;**;4;0
A Coruña;Mabegondo;01/07/2025 0:00:00;19.6;25.09;32.7;9;14.1;10.1;26;12;4.1;19;-120;84;99;63;51;237;2084;7;61;19;1009;8;0
A Coruña;Malpica;01/07/2025 0:00:00;18.0;21.29;24.3;9;15.7;13.6;14;9;5.8;19;-92;95;100;82;60;278;2257;23;82;3;1000;4;0
A Coruña;Marco da Curra;01/07/2025 0:00:00;16.0;20.93;30.5;16;12.7;10.8;6;18;9.1;19;-103;85;96;64;49;227;2114;15;74;19;945;11;0
A Coruña;Melide;01/07/2025 0:00:00;18.9;26.35;36.2;16;12.8;7.9;14;30;13.7;19;--;75;95;50;63;291;2451;7;54;2;964;5;0
A Coruña;Muralla;01/07/2025 0:00:00;16.5;21.21;29.0;16;13.2;11.6;20;24;18.1;19;-96;86;98;66;61;279;2333;29;90;7;943;5;0
A Coruña;O Fieitoso;01/07/2025 0:00:00;20.1;25.32;31.4;4;16.1;13.5;20;15;12.1;19;--;74;92;54;66;296;2433;7;65;29;--;5;0
A Coruña;*O Val;01/07/2025 0:00:00;19.4;23.66;28.1;9;15.6;11.5;15;43;21.0;19;**;87;98;73;**;**;**;4;36;8;1011;12;0
A Coruña;Olas;01/07/2025 0:00:00;17.5;23;29.7;9;13.2;10.1;14;39;16.5;19;-89;84;97;65;51;235;2104;9;60;19;**;12;0
A Coruña;*Ordes;01/07/2025 0:00:00;18.8;24.45;33.8;9;13.9;9.2;14;27;23.3;19;**;79;93;60;**;**;**;2;35;7;988;7;0
A Coruña;*Paramos;01/07/2025 0:00:00;18.0;23.55;31.6;9;13.7;10.6;15;31;26.0;19;**;84;98;64;**;**;**;8;40;7;977;5;0
A Coruña;*Pazo de Galegos;01/07/2025 0:00:00;20.1;26.57;35.1;16;15.1;11.3;14;7;5.7;19;-143;76;96;53;56;257;2197;3;35;2;**;3;0
A Coruña;Punta Candieira;01/07/2025 0:00:00;17.3;19.29;24.4;9;15.8;13.7;20;39;7.4;19;-60;88;96;76;42;196;1921;31;118;8;988;13;0
A Coruña;Punta Langosteira;01/07/2025 0:00:00;17.9;19.34;22.0;13;16.4;14.1;10;6;2.7;13;**;85;92;76;58;266;2228;18;83;19;1017;5;0
A Coruña;Río do Sol;01/07/2025 0:00:00;16.0;20.56;27.9;9;13.0;11.3;14;42;20.0;19;-55;92;100;76;47;215;1976;20;69;19;956;12;0
A Coruña;*Rus;01/07/2025 0:00:00;18.5;23.77;29.8;9;13.4;9.7;8;25;15.0;19;**;90;100;69;**;**;**;2;36;14;1003;10;0
A Coruña;Sálvora-Pazo;01/07/2025 0:00:00;19.5;23.38;31.5;4;16.8;14.6;14;6;4.7;19;--;82;94;65;66;306;2511;24;82;7;**;2;0
A Coruña;Santiago-EOAS;01/07/2025 0:00:00;19.4;25.3;34.3;16;15.0;12.4;14;12;11.0;19;-133;76;92;55;46;211;2099;16;69;19;989;4;0
A Coruña;Santiago-San Lázaro;01/07/2025 0:00:00;18.8;23.79;31.5;16;14.8;12.0;15;12;11.2;19;-134;82;97;63;61;279;2300;11;50;29;983;4;**
A Coruña;Sergude;01/07/2025 0:00:00;20.0;26.45;35.2;16;14.9;10.6;14;13;9.7;19;**;81;99;55;63;291;2376;10;49;19;992;4;0
A Coruña;Serra da Faladoira;01/07/2025 0:00:00;15.5;18.86;24.9;16;13.1;11.5;6;74;17.7;2;-9;95;100;83;39;181;1809;19;73;8;953;17;0
Lugo;A Pontenova;01/07/2025 0:00:00;17.5;22.03;27.4;16;14.5;11.2;15;32;8.0;2;**;84;95;67;36;165;1589;13;71;19;**;12;0
Lugo;Abradelo;01/07/2025 0:00:00;18.2;26.03;35.7;16;12.7;10.0;25;35;22.9;18;**;74;96;44;67;307;2540;**;**;**;**;5;0
Lugo;*Alto do Faro;01/07/2025 0:00:00;16.8;23.23;32.6;16;12.1;9.8;25;13;10.4;19;**;89;100;60;**;**;**;7;42;2;923;4;0
Lugo;*Alto do Poio;01/07/2025 0:00:00;16.1;21.91;30.9;16;11.2;6.4;24;42;22.0;18;**;71;93;48;**;**;**;**;**;**;**;5;0
Lugo;Ancares;01/07/2025 0:00:00;16.5;23.14;32.3;16;11.2;5.6;24;29;6.6;20;--;--;--;--;66;306;2667;12;62;19;--;9;0
Lugo;*Borreiros;01/07/2025 0:00:00;19.3;23.42;26.5;16;15.5;11.0;15;37;16.6;2;--;84;96;69;36;167;1725;4;50;19;1012;13;0
Lugo;Bóveda;01/07/2025 0:00:00;20.5;28.35;37.8;16;14.1;9.9;25;15;7.2;4;-143;73;98;43;**;**;2730;8;50;28;968;3;0
Lugo;Burela;01/07/2025 0:00:00;16.8;19.26;21.7;11;14.8;13.3;21;37;8.5;2;-40;92;99;81;**;**;1754;14;79;19;971;13;0
Lugo;Campus Lugo;01/07/2025 0:00:00;19.2;26.44;36.5;16;14.2;10.3;15;16;5.7;19;-130;76;99;48;47;216;2150;7;42;28;972;7;0
Lugo;Castro R. de Lea;01/07/2025 0:00:00;18.5;24.32;32.5;16;14.3;8.4;15;15;7.3;19;**;80;97;56;54;251;2292;**;**;**;969;8;0
Lugo;Conchada;01/07/2025 0:00:00;19.8;28.21;37.0;16;13.5;9.6;24;8;7.7;20;**;78;100;45;67;309;2633;11;51;23;939;4;0
Lugo;Corno do Boi;01/07/2025 0:00:00;16.2;22.27;32.3;16;12.3;10.4;24;22;15.9;19;-112;84;98;59;54;251;2290;12;58;19;**;7;0
Lugo;Cospeito;01/07/2025 0:00:00;18.1;23.82;32.6;16;13.7;8.1;15;11;9.4;19;-131;81;98;56;51;236;2183;11;61;3;**;3;0
Lugo;Courel;01/07/2025 0:00:00;19.6;27.29;35.9;16;13.4;10.2;24;15;12.6;20;-171;69;97;41;68;311;2633;8;61;28;930;3;0
Lugo;Feiranova-Santaballa;01/07/2025 0:00:00;17.4;23.4;33.4;16;12.6;7.8;15;12;6.2;19;-115;91;100;68;51;235;2212;7;49;2;963;5;0
Lugo;Fontaneira;01/07/2025 0:00:00;16.3;22.85;31.8;16;11.8;9.1;24;17;6.9;19;--;80;98;53;--;--;2718;19;66;2;909;6;0
Lugo;Foz;01/07/2025 0:00:00;18.9;22.18;24.6;13;15.8;11.9;15;14;5.2;2;-107;83;97;68;46;212;1947;10;69;19;1011;8;0
Lugo;Fragavella;01/07/2025 0:00:00;15.6;18.88;23.9;16;12.8;8.4;6;55;24.2;2;--;90;99;75;32;147;1648;--;--;--;951;13;0
Lugo;Guitiriz-Mirador;01/07/2025 0:00:00;16.2;21.91;33.2;16;12.6;10.8;20;18;14.2;19;-105;86;100;61;47;216;2062;8;55;19;941;8;0
Lugo;*Labrada;01/07/2025 0:00:00;15.9;19.56;25.8;16;13.1;11.1;14;38;11.4;2;--;--;--;75;--;--;--;--;--;--;**;16;0
Lugo;*Lourenzá;01/07/2025 0:00:00;19.3;23.44;27.5;12;15.7;11.1;15;22;9.2;2;**;82;96;65;**;**;**;2;40;19;**;8;0
Lugo;Marroxo;01/07/2025 0:00:00;18.8;27.22;36.2;16;13.1;9.9;24;8;3.7;20;-160;75;99;42;57;264;2462;10;49;24;945;5;0
Lugo;*Míllara;01/07/2025 0:00:00;21.4;30.77;40.4;16;15.0;11.2;15;21;12.8;3;**;69;92;40;**;**;**;5;45;19;**;4;0
Lugo;Monforte;01/07/2025 0:00:00;21.7;30.06;38.4;16;14.4;9.3;25;8;5.5;20;-174;65;95;34;65;299;2513;4;38;24;**;3;0
Lugo;*Morelle;01/07/2025 0:00:00;20.0;28.12;37.1;16;13.4;8.0;25;25;9.7;4;-121;72;94;45;48;221;2094;2;34;19;970;5;0
Lugo;O Cebreiro;01/07/2025 0:00:00;16.6;23.87;32.9;16;10.9;7.0;24;42;17.6;18;-117;78;98;53;**;**;2622;12;43;18;874;10;0
Lugo;O Xipro;01/07/2025 0:00:00;16.9;23.93;34.0;16;11.8;9.3;25;9;4.9;19;-140;77;96;49;58;268;2336;11;58;19;930;7;0
Lugo;O Xistral;01/07/2025 0:00:00;13.8;16.96;26.6;16;11.3;8.5;20;51;12.2;2;-29;95;100;80;47;--;2033;33;110;19;**;18;0
Lugo;*Olveda;01/07/2025 0:00:00;17.9;25.1;36.7;16;12.5;9.5;8;11;8.5;19;-143;78;99;50;62;284;2392;7;37;2;**;3;0
Lugo;Pedro Murias;01/07/2025 0:00:00;19.4;22.36;24.9;13;16.8;13.9;15;38;19.9;2;-86;89;99;76;47;218;2056;7;58;19;1014;11;0
Lugo;Penedo do Galo ;01/07/2025 0:00:00;15.5;18.4;23.3;12;13.5;11.7;20;70;26.4;2;-14;90;98;79;34;157;1625;20;109;19;**;17;0
Lugo;Pol;01/07/2025 0:00:00;16.8;22.81;31.8;16;12.9;10.1;24;21;10.1;19;**;83;98;60;55;253;2332;11;54;19;945;7;0
Lugo;Portomarín;01/07/2025 0:00:00;19.4;27.35;37.4;16;13.6;9.1;15;9;6.9;19;**;78;99;49;61;281;2432;**;**;**;967;5;0
