[Provincia];[NombreEstacion];[InstanteLectura];[TA];[TMAXMED];[TMAX];[FTMAX];[TMINmed];[TMIN];[FTMIN];[PP];[PPMAX];[FPPMAX];[BHC];[HRMED];[HRMAX];[HRMIN];[INS];[HSOL];[IRD];[VV];[GT];[FGTMAX];[PR];[NDPP];[NDX]
A Coruña;A Gándara;01/12/2025 0:00:00;9.1;11.22;14.9;28;7.0;2.0;26;351;41.5;15;326;91;98;78;31;87;447;30;150;9;966;23;0
A Coruña;Aldea Nova;01/12/2025 0:00:00;9.7;12.52;16.0;9;7.4;3.1;26;297;30.4;5;250;85;96;70;31;86;419;10;73;18;982;21;0
A Coruña;Arzúa;01/12/2025 0:00:00;7.2;12.02;16.7;14;3.3;-3.5;27;248;31.9;18;228;93;100;72;27;76;413;**;51;9;972;20;8
A Coruña;Camariñas;01/12/2025 0:00:00;11.6;14.16;17.0;6;8.4;3.2;27;170;28.6;18;129;83;94;67;34;93;446;21;107;9;1014;20;0
A Coruña;Cariño;01/12/2025 0:00:00;10.9;14.44;18.3;7;**;**;27;236;28.4;22;207;86;98;67;27;74;413;7;80;8;1011;19;**
A Coruña;Cee-Brens;01/12/2025 0:00:00;11.3;14.47;17.8;13;7.8;3.3;30;359;60.0;18;235;90;99;72;**;**;440;**;**;9;1014;21;0
A Coruña;CIS Ferrol;01/12/2025 0:00:00;10.7;14.32;17.9;6;7.5;0.9;27;245;30.8;4;210;82;92;64;30;83;415;9;76;18;1012;22;0
A Coruña;Corrubedo;01/12/2025 0:00:00;11.4;14.14;18.1;13;9.0;5.2;21;246;40.1;18;209;79;89;64;31;87;453;9;77;9;1012;20;0
A Coruña;Coruña-Dique;01/12/2025 0:00:00;11.4;14.36;18.8;6;8.5;2.5;27;162;34.8;18;**;82;92;68;**;**;**;19;112;18;1013;18;0
A Coruña;Coruña-Torre de Hércules;01/12/2025 0:00:00;11.7;14.68;19.2;6;9.0;3.8;27;193;25.4;18;**;78;92;60;**;**;**;**;**;**;**;18;0
A Coruña;*Costa;01/12/2025 0:00:00;8.4;13.39;16.9;9;4.4;-0.8;27;420;58.2;18;**;96;100;77;**;**;**;2;52;7;**;22;2
A Coruña;*Coto Muiño;01/12/2025 0:00:00;7.6;12.12;16.0;29;3.5;-2.0;31;442;52.6;18;**;86;92;70;**;**;**;2;48;9;**;22;7
A Coruña;*Guísamo;01/12/2025 0:00:00;9.7;13.18;17.0;5;6.9;1.4;27;218;33.2;4;**;82;96;59;**;**;**;6;58;1;994;19;0
