[Provincia];[NombreEstacion];[InstanteLectura];[TA];[TMAXMED];[TMAX];[FTMAX];[TMINmed];[TMIN];[FTMIN];[PP];[PPMAX];[FPPMAX];[BHC];[HRMED];[HRMAX];[HRMIN];[INS];[HSOL];[IRD];[VV];[GT];[FGTMAX];[PR];[NDPP];[NDX]
A Coruña;A Gándara;01/11/2025 0:00:00;11.0;13.04;18.8;4;9.1;4.9;22;437;61.8;5;--;96;100;83;23;68;495;26;159;4;967;28;0
A Coruña;Aldea Nova;01/11/2025 0:00:00;11.9;14.75;20.1;4;9.6;4.5;21;305;68.6;29;--;86;96;70;25;72;512;10;69;5;982;28;0
A Coruña;Arzúa;01/11/2025 0:00:00;9.6;13.99;20.1;4;6.2;-1.8;22;328;38.1;5;302;94;100;73;20;59;481;4;62;11;972;22;2
A Coruña;Camariñas;01/11/2025 0:00:00;14.1;15.94;20.6;4;12.0;5.3;22;280;64.1;12;234;84;94;70;29;85;540;22;106;11;1014;27;0
A Coruña;Cariño;01/11/2025 0:00:00;13.6;16.73;22.3;5;10.7;3.7;22;182;38.8;29;142;83;96;65;26;76;538;7;59;5;1010;26;0
A Coruña;Cee-Brens;01/11/2025 0:00:00;13.7;16.22;20.1;4;11.2;4.8;22;481;77.2;12;375;92;100;77;31;90;536;**;**;12;1014;28;0
A Coruña;CIS Ferrol;01/11/2025 0:00:00;13.2;16.3;21.6;4;10.6;3.7;22;275;40.4;29;231;81;92;64;27;78;531;9;78;4;1012;24;0
A Coruña;Corrubedo;01/11/2025 0:00:00;13.4;16.12;20.9;4;11.0;5.6;22;309;54.6;13;269;81;90;67;24;70;520;10;90;15;1012;20;0
A Coruña;Coruña-Dique;01/11/2025 0:00:00;13.8;16.11;22.0;4;11.4;5.5;22;130;22.4;29;**;81;91;68;**;**;**;21;97;15;1013;21;0
A Coruña;Coruña-Torre de Hércules;01/11/2025 0:00:00;14.1;16.7;21.8;4;11.9;6.3;22;200;31.8;29;**;76;90;61;**;**;**;**;**;**;**;24;0
A Coruña;*Costa;01/11/2025 0:00:00;11.1;15.35;20.3;4;7.7;0.6;22;569;76.0;12;**;96;100;79;**;**;**;2;43;11;**;21;0
